Wallet,Debt,Collat Val
terra1gwt3yx9hvkg2f43xy76rp6c3gg3qgc44tggfqz,105.93055,0
terra16c6ymfsehnfraec5k85hlxh3ezlj2tdhg0pte0,8478.654505,0
terra1lmqkwf4rwc3gat4sy5fzt6m2u4z2c2klz634l2,1747.600046,0
terra12sml2jurmveq6cau06fx92njvjrcdjll8nm9qr,1910.337758,0
terra1he0sylaa3uegkfqur6xkh0d05qn7w5znj0ppzj,1479.79693,0
terra1rtw7mxd505yngeag02ekzrlvhjkhjgs957zjp0,824.342522,0
terra1xyajwlw9pk624r3we7cnnzd7qjrrq462un275d,2630.384442,0
terra1jj08pyzzgm9l5amrsd8yuq25n3vxh6vrdf4qsa,122.235721,0
terra19hwf45ujr8n3h8kjpjwghj2cph2ft968rmduf2,399.79222,0
terra1mhen7hdxhy7ujgkqnys7x0pg2mw7kt3wzsvfn2,384.977746,0
terra1gdsvyjcpz47q5d9lwc64xvl7fyd5dm743h6r7t,85354.25163,0
terra12455shyfqy049cnhe6y6jdf55zcn2ck8pja99p,3348.777232,0
terra1gr5gcspnj0cak233waqnv6yn8sr7mdaaeh4m0e,2976.895842,0
terra1v7rm7vqjvqymkgud2nwvynyjywn478h4ugl09k,323.530052,0
terra1z3uqpvkkk88fn7948xppjqczn7s7kelc6wkpp6,1949.624165,0
terra1e6tklauwxh54l3w799a7mtyqey8rtqmdp5rul6,25957.91801,0
terra1vvnfqwkntrw0rsn3qnkxf9keq7m86ufcq97hcs,104.441363,0
terra1xuz6lczhzzcxdhvz8dxhqvnzzpghhun3crmyfd,255.713819,0
terra12ws74egvq49q6hn88f4gp5y0akuzyu2v4zggke,1171.470206,0
terra1fvat0lvgsaua6w6vu9azkmku9w5tmlr9jr2fc0,3152.165615,0
terra1nd7lvfaru45739ckjccz3er5y84x4hkzjqmaxn,1110.066999,0
terra12px92fymxaelxwg99yf50rzws303zddcz4dzs2,1714.660631,0
terra1n4ecvncp7w2mel8kprmxa5cp8a66jgwcf72gc6,883.451971,0
terra1r26ex6g944q9s4k6qu63584ytfz3qh6vajnt2m,1352.352377,0
terra18jjzhre6papp9h23vj4p662yxkcr6tgt52rkce,314.445008,0
terra1lklzfdf06tzf09yeg4wnypu29pyjqw097e49mh,4548.550272,0
terra1x3y7syez252zwwqxu4unuhfryge7kzy5ucj20t,8046.604461,0
terra10zl6y80a79jcfaw565he6u6s5l7kyvk3sc3wgq,5493.021469,0
terra1hn5qhehmdqdnpelxqpvdxp5luuc3txqwgqyhdk,332.843506,0
terra13t8vqfu6d84mhvlcpvxa9aycakq292r96vkwyv,134.09806,0
terra19lkpxne97459af0k740z5ssvc7n44zz96za5uc,232.336638,0
terra1z9qzy242m3qs4yv9wzssmau8c4p48tutejqkyz,901.240306,0
terra12ajede32hwg3rc0ltt9q9wjkw4f46tm4q7pkcn,109.344473,0
terra1lagq9lp2v2n4tct3a945ehnumkgkfrwt3ka72g,306.677654,0
terra12h9uzeqxuxhy7p9n0qqdzegz0e9lafpas046d9,2264.1414,0
terra1ur6zznfxnc6xxj8r8d328z5jgw9clzs4qwptgz,368.676005,0
terra1qv6eu22avlpvn9m99y8ggtgk0qwteus3983wql,495.451951,0
terra1md38xh47xge35hz7rhfqmdqnpp3cq07urvsf7p,230.097117,0
terra1x7sy5acefk8v7krsslf7klxf3aquazdmmgw4ud,134.165552,0
terra105629wch2qa2u9yrpqkffrn5ywewyuv6z7zfe0,922.482642,0
terra19h974l7ht4y5yrfwgvfv0fa2m2sqmm92yx8ssk,118.204948,0
terra1ftftwaufwhcrdjymjsz0vh438hm8lwspdfxy3z,5858.278523,0
terra14z855zj8ksu7h5kq07fmqfx0htq3lw306a7vmt,752.358765,0
terra1aq3zgszdnt760wtqturxq5r8f78xfd030vy30p,132.36392,0
terra1caf7cxxkhs9net6srl59du79jxg0jdj4y64rvu,1786.256373,0
terra12plyudvlzv6w8e372nrr470mxay9mg8946lqmz,528.328559,0
terra1ukzcrpwa7202mheajt8p5gzx0fscgma5arazd8,202.200482,0
terra1ljvvg2tlkugs2w386n8gu6tl0w605u4g67cm6n,565.722804,0
terra1n7gntmulkv3ejwxscwdmjjdfj0q4yswjltj2j9,408.114897,0
terra19aymr0qj9xxdjtwjfpersyhmd00hl90ap443xc,1258.095843,0
terra16ykpt3z6wf04qm9ghm4fn6pfv6zn73mj9vw6q5,9660.995692,0
terra163fpecwqurhpnnyzag94tga9ygvaedhmlrskd0,707.320126,0
terra1vlk4dl0yd99uwscpemj3348u39jjt5phzqj4f5,3861.82017,0
terra1men6vp8slwgrw8q4skxymn07vvpqgjtsrdfw9s,721.630179,0
terra1m7ack8xfyx88kpyszchhfq3z09qe87h5mpvqz5,3070.510783,0
terra1rn5t8h4gudlafaf4lc2ejcknra8k0lujmpd8gv,388.679799,0
terra1ah5ukx93jw2hd5ezmnyzvj9hn5e33tft5rq90n,200.442729,0
terra1m8e2svmxugq9asl3vu0m9tyfwnlqlxwsz64wkj,1560.079543,0
terra1gzwx0yrahc2kh6dg4wsdv2h39su2msr4ke4mju,283.415651,0
terra1ppejk2vl74jjnftq97vd6k80jq3g7y2rp739yy,579.626441,0
terra1yp20r25jw685zep6ffkcnml5hdtpa4cmzclrdt,3183.581808,0
terra1y6ea79fqc2wwcnrnjvme2q7rwdpgccdwpw0spr,1986.860416,0
